id,Hollingshead_SES_t1,age,gender,ethnicity_categorical,site,gnf.1,gnf.3,gnf.5,gnf.7,gnf.9,gnf.11,gnf.13,gnf.15,neur_t1,neur_t3,neur_t5,neur_t7,neur_t9,neur_t11,neur_t13,neur_t15,extra_t1,extra_t3,extra_t5,extra_t7,extra_t9,extra_t11,extra_t13,extra_t15,consc_t1,consc_t3,consc_t5,consc_t7,consc_t9,consc_t11,consc_t13,consc_t15,agree_t1,agree_t3,agree_t5,agree_t7,agree_t9,agree_t11,agree_t13,agree_t15,open_t1,open_t3,open_t5,open_t7,open_t9,open_t11,open_t13,open_t15,cs_sum_t1,cs_sum_t3,cs_sum_t5,cs_sum_t7,cs_sum_t9,cs_sum_t11,cs_sum_t13,cs_sum_t15,ddad_csrtot_cur_t1,ddad_csrtot_cur_t3,ddad_csrtot_cur_t5,ddad_csrtot_cur_t7,ddad_csrtot_cur_t9,ddad_csrtot_cur_t11,ddad_csrtot_cur_t13,ddad_csrtot_cur_t15,ddad_csrtot_past_t3,ddad_csrtot_past_t5,ddad_csrtot_past_t7,ddad_csrtot_past_t9,ddad_csrtot_past_t11,ddad_csrtot_past_t13,ddad_csrtot_past_t15,Zcs_sum_t1,Zcs_sum_t3,Zcs_sum_t5,Zcs_sum_t7,Zcs_sum_t9,Zcs_sum_t11,Zcs_sum_t13,Zcs_sum_t15,Zddad_csrtot_cur_t1,ddad_cp_z3,ddad_cp_z5,ddad_cp_z7,ddad_cp_z9,ddad_cp_z11,ddad_cp_z13,ddad_cp_z15,es_sum_t1,es_sum_t3,es_sum_t5,es_sum_t7,es_sum_t9,es_sum_t11,es_sum_t13,es_sum_t15,Zes_sum_t1,Zes_sum_t3,Zes_sum_t5,Zes_sum_t7,Zes_sum_t9,Zes_sum_t11,Zes_sum_t13,Zes_sum_t15,cses_1,cses_3,cses_5,cses_7,cses_9,cses_13,cses_15
13,50,16,2,1,1,-.463,.559, , , , , , ,5.75,5.375, , , , , , ,5.875,4.875, , , , , , ,5.57142857142857,5.14285714285714, , , , , , ,5.75,5.125, , , , , , ,5.125,5.25, , , , , , ,25.5,18.5,19.5, , , , , ,5,0,0, , , , , ,0,0, , , , , ,.822484549486492,-1.04590168080553,-.884182587467147, , , , , ,.519428854695918,-.485466294394414,-.45363384700441, , , , , ,13.5,4.5,6.5, , , , , ,1.3699899478798,-.311635020893497,.0200062681542669, , , , , ,7.16124227474325, ,2.80790870626643, , , , 
14,66,16,1,2,1,.652,.854,1.409, , ,.502, , ,5.125,6.125,4.875, , ,4.75, , ,5.875,7,4.375, , ,5.5, , ,3.85714285714286,3.85714285714286,5, , ,3.85714285714286, , ,7.25,7.625,6.625, , ,6.125, , ,8,7.375,6.875, , ,7.875, , ,20.5,22,22, ,21,19.5,23,22,1,0,0, ,0,0,0,0,0,0, ,0,0,0,0,-.585184356784279,.0251519442277943,-.10022954072417, ,-.460225652480817,-.982121057472199,-.0457230215905888,-.437993860620272,-.606867780135713,-.485466294394414,-.45363384700441, ,-.442828293814146,-.424035247982286,-.433145822630003,-.421557539315547,10.5,6.5,2.5, ,1.5,4.5,1.5,10,.752637036735077,.161789610150282,-.864976887846241, ,-1.09514274229937,-.445883409456316,-1.22291228725216,.465615368713049,4.95740782160786,1.7589394712639,1.19988522963791, ,.519887173759591,.727138489204706,4.78100306968986
15,47.5,16,2,1,1,-.188,-.326, ,-.675,-.785, ,-.755, ,4.875,4.375, ,2.5,3.75, ,3, ,4.5,5.125, ,4.25,5.5, ,4.125, ,7,7.71428571428571, ,7.85714285714286,7.28571428571429, ,7.85714285714286, ,8.125,7.42857142857143, ,7.5,7.875, ,7.875, ,7,6.375, ,5.75,6.625, ,6.375, ,23,19.5,22.5,19,24.5,20.5,20.5, ,10,4,0,0,0,0,0, ,0,0,0,0,0,0, ,.118650096351106,-.739886359367438,.0565610686244253,-.956816052387634,.541574867649274,-.672927204723124,-.891598921016493, ,1.92729964823546,.40994214497733,-.45363384700441,-.472305936341638,-.442828293814146,-.424035247982286,-.433145822630003, ,10,2,5.5,7,2,2.5,2.5, ,.649744884877623,-.903415809698221,-.20123952084586,.146578055190693,-.99114239713086,-.817165674205144,-1.01181942684474, ,5.05932504817555,.913536397638438,2.77828053431221,3.02159197380618,1.27078743382464,.804200539491754, 
22,59.5,16,2,4,1,-.397,.34, ,.749,1.406,1.265,1.088, ,4.375,5.75, ,5.625,5.75,5.375,5.75, ,8,7, ,7.5,6.75,6.875,7.125, ,5.42857142857143,6, ,6.375,6.42857142857143,6.28571428571429,7, ,8.875,7.16666666666667, ,8.625,8,7.125,7.25, ,8.75,8.5, ,8.5,8.625,8.5,8.5, ,19,21.5,24.5,23,22.5,23,24.5,24.5,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-1.00748502866551,-.127855716491252,.683723506018807,.262120177172024,-.030882572425064,.100057427149564,.461802518064954,.41128077130741,-.325293621427806,-.485466294394414,1.25099489917573,-.472305936341638,-.442828293814146,-.424035247982286,-.433145822630003,-.421557539315547,5.5,18,7,10,5.5,11,3.5,13,-.276284481839457,2.88398123865201,.13062916265433,.723632714573002,-.263139980951295,.760783950977372,-.800726566437326,1.08195193031876,2.24625748566724,5.55002871357478,3.8418617530094,5.13106008858601,2.73455871378747,1.98090125903248,6.70564038565371
26,29,16,2,1,1,.69,.791,.286,.238,-.305, ,.257,-.418,5.375,4.625,3.75,4.125,3.625, ,4,3.375,4.625,5.375,5.375,3.875,4.75, ,4.125,4.375,6.85714285714286,6.42857142857143,7.625,7.25,5.57142857142857, ,6.71428571428571,6.75,9,7.4,8.25,8.75,8.5, ,8.625,8.375,6.75,7.25,7.375,6.375,6.25, ,5.5,7.125,22.5,22,23.5,20.5,22.5,21,23.5,22,1,2,0,1,2,1,4,1,0,0,0,0,0,0,0,-.022116794275971,.0251519442277943,.370142287321616,-.499714966302762,-.030882572425064,-.518330278348586,.123452158294592,-.437993860620272,-.606867780135713,-.0377620747085423,-.45363384700441,-.215070490154857,.0074517254196329,-.273598395089844,.257634164878835,-.259239045159853,18.5,2.5,0,0,2.5,3.5,3.5,3,2.39891146645433,-.785059651937276,-1.41809136034656,-1.19988281670136,-.887142051962351,-.63152454183073,-.800726566437326,-.972503275033622,9.23894160286202,1.49083486082571,.185071143660808,-.249857483151381,1.23455871378747,1.8117260791473,1.28100306968986
27,46,16,1,1,1,.658,.928,1.225,1.14,.886,.963,.875, ,5.375,4.875,5.125,5.375,4.625,5.125,4.625, ,4.75,5.625,4.875,5.5,4.75,5,5, ,5.71428571428571,4.57142857142857,4.28571428571429,4.625,5.28571428571429,5.42857142857143,4.42857142857143, ,7,5.75,4.75,5.125,5.125,5.125,4.875, ,5.125,6,5.375,5.375,4.375,4.875,5.25, ,24,23,22,19.5,22.5,20.5,23.5,21,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,.40018387760526,.331167265665887,-.10022954072417,-.804449023692677,-.030882572425064,-.672927204723124,.123452158294592,-.777703713391345,-.325293621427806,.186090035134394,-.231341804146066,-.472305936341638,.232591735036522,-.424035247982286,-.433145822630003,-.421557539315547,5.5,8,1.5,0,6.5,0,6,1.5,-.276284481839457,.516858083433116,-1.08622267684637,-1.19988281670136,-.0551392906142763,-1.28126850514118,-.272994415418782,-1.28067155583648,2.95009193880263,-.336463602361562,.699885229637915,-.402224511846338,3.23455871378747,3.0617260791473,.361148143304328
29,59.75,16,2,4,1,.721, , ,-.019,-.155, ,-.004,-.161,5.625, , ,4.75,4.125, ,4.375,3.625,2.875, , ,4.125,5.25, ,3.625,4.25,6.14285714285714, , ,6.125,6.71428571428571, ,7.42857142857143,8.5,7.75, , ,7.5,8.625, ,8.625,8.875,7.125, , ,7.875,7.625, ,8,7.625,15.5, , ,23,17.5, ,22.5,23.5,0, , ,0,0, ,0,0, , ,1,0, ,0,0,-1.99285326305505, , ,.262120177172024,-1.46202617261091, ,-.21489820147577,.071570918536337,-.888441938843621, , ,-.119989459199509,-.442828293814146, ,-.433145822630003,-.421557539315547,4, , ,0,7.5, ,5,0,-.584960937411818, , ,-1.19988281670136,.152861399722742, ,-.484087275826199,-1.58883983663934,1.00357336847247, , ,.131060088586012,3.01898691369455,2.39255089926212,.0357854592681685
30,55.5,16,2,4,1,.088,-.602,-.208,-.607,-.458,-.16,.032,-.48,5.25,5.125,4.375,5,5.75,5.375,5.125,5.5,7.75,7.5,7.75,7.75,8.125,7.75,7.75,8.5,6.85714285714286,6.28571428571429,6.75,6.75,7.28571428571429,7.71428571428571,8.5,8,7.625,7.375,7.5,7.75,7.75,6.5,7.125,7,7,7.25,6.875,7.25,7,6.71428571428571,6.75,7.5,19,21,21,20.5,19.5,22,23,25,0,0,0,0,0,0,0,2,0,0,0,0,4,4,3,-1.00748502866551,-.280863377210299,-.413810759421361,-.499714966302762,-.889568732536571,-.209136425599511,-.0457230215905888,.581135697692946,-.888441938843621,-.485466294394414,-.45363384700441,-.472305936341638,-.442828293814146,.842276078730546,1.02751827575537,.916981613398694,11.5,9,3.5,8,6.5,16,21.5,7,.958421340449984,.753570398955005,-.643731098846114,.338929608318129,-.0551392906142763,1.68898961284944,2.99894492089619,-.150721192892667,5.24625748566725,7.89543178720024,1.54309462028932,3.75014251684862,2.80521563373171,10.7271384892047,3.79056784884647
31,57,16,2,8,1,-1.568,-1.538,-1.646,-2.174,-1.793,-1.463,-1.681, ,2.125,1.75,2.125,1,1.625,1.625,1.875, ,6.875,7,6.5,8,7.125,7.5,7.75, ,6.42857142857143,7.42857142857143,6.75,7.75,7.71428571428571,6.14285714285714,7.28571428571429, ,7.75,8,7.25,8.375,8.375,8.625,8, ,7.125,7.25,7,7.25,7.5,7.5,7.25, ,17.5,18.5,18,18.5,17.5,20,21,22,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,-1.42978570054674,-1.04590168080553,-1.35455441551293,-1.10918308108259,-1.46202617261091,-.827524131097661,-.722423741131312,-.437993860620272,-.888441938843621,-.485466294394414,-.45363384700441,-.215070490154857,-.217688284197256,-.424035247982286,-.433145822630003,-.259239045159853,8,5.5,1.5,4,0,7,3,6,.23817627744781,-.0749227053716079,-1.08622267684637,-.430476604191615,-1.4071437778049,.0182194214797175,-.906272996641034,-.356166713427906,3.28510714972663,3.08623793445117,.0727227922435336,1.4454084594587,-.731013086305454,1.13878812943434,2.78100306968986
32,66,16,2,4,1,-.29,-.844, , ,.583, ,.817,.794,5.875,4.625, , ,4.5, ,5.25,4.625,7.125,7, , ,4.125, ,5.125,5.25,6.42857142857143,7.28571428571429, , ,5.57142857142857, ,5.25,4.625,7.375,7.42857142857143, , ,4.5, ,4.875,5.5,6.375,7, , ,4.875, ,5.875,4.875,20,18, ,20.5,20.5, ,21.5,24,1,0, ,0,0,0,0,0,0, ,0,0,0,0,0,-.725951247411357,-1.19890934152458, ,-.499714966302762,-.603340012499402, ,-.553248561246131,.241425844921873,-.606867780135713,-.485466294394414, ,-.472305936341638,-.442828293814146,-.424035247982286,-.433145822630003,-.421557539315547,9.5,6.5, ,1.5,0,7,5,1.5,.54685273302017,.161789610150282, ,-.911355487010205,-1.4071437778049,.0182194214797175,-.484087275826199,-1.28067155583648,4.38702437629432,7, ,.500142516848619,-.301670006249701,2.22337571937693,.870712922460937
